Date,Open,High,Low,Close,Volume,Spread,RealVolume
2024-01-02 00:00:00+00:00,1.10418,1.1044,1.10405,1.10437,288,22,0
2024-01-02 01:00:00+00:00,1.10438,1.10438,1.10348,1.10355,765,16,0
2024-01-02 02:00:00+00:00,1.10356,1.10376,1.10334,1.10373,1167,16,0
2024-01-02 03:00:00+00:00,1.10372,1.1042399999999999,1.10333,1.10339,2765,16,0
2024-01-02 04:00:00+00:00,1.10339,1.10351,1.10173,1.10178,2036,16,0
2024-01-02 05:00:00+00:00,1.10178,1.10239,1.10167,1.10236,1788,16,0
2024-01-02 06:00:00+00:00,1.10236,1.1024,1.10156,1.102,1291,16,0
2024-01-02 07:00:00+00:00,1.10201,1.10327,1.10199,1.10324,1721,16,0
2024-01-02 08:00:00+00:00,1.10325,1.10344,1.1026,1.10278,1656,16,0
2024-01-02 09:00:00+00:00,1.10277,1.10372,1.10142,1.10144,4501,16,0
2024-01-02 10:00:00+00:00,1.10153,1.10379,1.10153,1.10287,5914,16,0
2024-01-02 11:00:00+00:00,1.10286,1.10369,1.10098,1.10142,4594,16,0
2024-01-02 12:00:00+00:00,1.1014,1.10162,1.09962,1.10065,4596,16,0
2024-01-02 13:00:00+00:00,1.10067,1.10067,1.09657,1.09682,5987,16,0
2024-01-02 14:00:00+00:00,1.09683,1.09709,1.09528,1.09528,4480,16,0
2024-01-02 15:00:00+00:00,1.09529,1.09641,1.09486,1.09518,6107,16,0
2024-01-02 16:00:00+00:00,1.09518,1.0963,1.09438,1.09622,8045,16,0
2024-01-02 17:00:00+00:00,1.09622,1.09673,1.094,1.09426,9026,16,0
2024-01-02 18:00:00+00:00,1.09427,1.09608,1.09399,1.09555,5148,16,0
2024-01-02 19:00:00+00:00,1.09554,1.09566,1.09449,1.09495,3732,16,0
2024-01-02 20:00:00+00:00,1.09495,1.09549,1.09453,1.09459,3067,16,0
2024-01-02 21:00:00+00:00,1.09458,1.09495,1.0942,1.09456,2776,16,0
2024-01-02 22:00:00+00:00,1.09456,1.09505,1.09413,1.09423,2464,16,0
2024-01-02 23:00:00+00:00,1.09423,1.09423,1.09374,1.09387,1295,16,0
2024-01-03 00:00:00+00:00,1.09391,1.0943100000000001,1.0937999999999999,1.09398,933,16,0
2024-01-03 01:00:00+00:00,1.094,1.09427,1.094,1.09406,750,17,0
2024-01-03 02:00:00+00:00,1.09407,1.09498,1.09403,1.09485,1249,16,0
